Submission Id,Final Score,Grader's comments,"Part 1, Question 1, Response","Part 1, Question 1, Grader's comments","Part 1, Question 2, Response","Part 1, Question 2, Grader's comments","Part 1, Question 3, Response","Part 1, Question 3, Grader's comments","Part 1, Question 4, Response","Part 1, Question 4, Grader's comments","Part 1, Question 5, Response","Part 1, Question 5, Grader's comments","Part 1, Question 6, Response","Part 1, Question 6, Grader's comments","Part 1, Question 7, Response","Part 1, Question 7, Grader's comments","Part 1, Question 8, Response","Part 1, Question 8, Grader's comments","Part 1, Question 9, Response","Part 1, Question 9, Grader's comments","Part 1, Question 10, Response","Part 1, Question 10, Grader's comments","Part 1, Question 11, Response","Part 1, Question 11, Grader's comments","Part 1, Question 12, Response","Part 1, Question 12, Grader's comments","Part 1, Question 13, Response","Part 1, Question 13, Grader's comments","Part 1, Question 14, Response","Part 1, Question 14, Grader's comments","Part 1, Question 15, Response","Part 1, Question 15, Grader's comments","Part 1, Question 16, Response","Part 1, Question 16, Grader's comments","Part 1, Question 17, Response","Part 1, Question 17, Grader's comments","Part 1, Question 18, Response","Part 1, Question 18, Grader's comments","Part 1, Question 19, Response","Part 1, Question 19, Grader's comments","Part 1, Question 20, Response","Part 1, Question 20, Grader's comments","Part 1, Question 21, Response","Part 1, Question 21, Grader's comments","Part 1, Question 22, Response","Part 1, Question 22, Grader's comments","Part 1, Question 23, Response","Part 1, Question 23, Grader's comments","Part 1, Question 24, Response","Part 1, Question 24, Grader's comments","Part 1, Question 25, Response","Part 1, Question 25, Grader's comments","Part 1, Question 26, Response","Part 1, Question 26, Grader's comments","Part 1, Question 27, Response","Part 1, Question 27, Grader's comments","Part 1, Question 28, Response","Part 1, Question 28, Grader's comments","Part 1, Question 29, Response","Part 1, Question 29, Grader's comments","Part 1, Question 30, Response","Part 1, Question 30, Grader's comments","Part 1, Question 31, Response","Part 1, Question 31, Grader's comments","Part 1, Question 32, Response","Part 1, Question 32, Grader's comments","Part 1, Question 33, Response","Part 1, Question 33, Grader's comments","Part 1, Question 34, Response","Part 1, Question 34, Grader's comments","Part 1, Question 35, Response","Part 1, Question 35, Grader's comments","Part 1, Question 36, Response","Part 1, Question 36, Grader's comments","Part 1, Question 37, Response","Part 1, Question 37, Grader's comments","Part 1, Question 38, Response","Part 1, Question 38, Grader's comments","Part 1, Question 39, Response","Part 1, Question 39, Grader's comments","Part 1, Question 40, Response","Part 1, Question 40, Grader's comments","Part 1, Question 41, Response","Part 1, Question 41, Grader's comments","Part 1, Question 42, Response","Part 1, Question 42, Grader's comments","Part 1, Question 43, Response","Part 1, Question 43, Grader's comments","Part 1, Question 44, Response","Part 1, Question 44, Grader's comments","Part 1, Question 45, Response","Part 1, Question 45, Grader's comments","Part 1, Question 46, Response","Part 1, Question 46, Grader's comments","Part 1, Question 47, Response","Part 1, Question 47, Grader's comments","Part 1, Question 48, Response","Part 1, Question 48, Grader's comments","Part 1, Question 49, Response","Part 1, Question 49, Grader's comments","Part 1, Question 50, Response","Part 1, Question 50, Grader's comments","Part 1, Question 51, Response","Part 1, Question 51, Grader's comments","Part 1, Question 52, Response","Part 1, Question 52, Grader's comments","Part 1, Question 53, Response","Part 1, Question 53, Grader's comments"
645090,0,,1: 1,,New England,,Sophomore,,Brown,,Central,,Football,,hell yes,,Beyonce,,Instagram,,no,,1: 1,,1: 2,,1: 3,,Some combination of two,,none,,1: 5,,1: 14,,1: 8,,What even is the Perimeter ,,Divinity Refectory,,1: 2,,Yes,,Maple Syrup,,yes,,"no, I was eligible but chose not to vote",,Greek life,,Time,,1: 9,,1: 0,,1: 0,,1: 5,,Neither they’re nasty,,Rachel,,1,,I don’t know what you are talking about.,,House of Cards,,Salad,,Jigglypuff,,1: 7,,Feta,,Dog,,Jimmy John’s,,fruity,,Parker and Otis,,No,,No,,Clean Laundry,,1: 52,,the giant roasted hog,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 4,
645298,0,,1: 0,,Southeast,,Junior,,Brown,,West,,Other,,meh,,Taylor swift,,Snapchat,,no,,1: 1,,1: 1,,1: 3,,Some combination of two,,white,,1: 7,,1: 16,,1: 6,,What even is the Perimeter ,,Edens Cafe (lol),,1: 3,,Yes,,Honey Mustard,,no,,yes,,Greek life,,Time,,1: 5,,1: 1,,1: 1,,1: 6,,Coke,,Rachel,,2,,House Stark,,House of Cards,,Burrito Bowl,,Jigglypuff,,1: 5,,Brie,,Dog,,Cookout,,vanilla,,Parker and Otis,,Sometimes,,No,,Bakery,,1: 56,,watery pasta,,Harry Potter,,Harry Potter,,Hufflepuff (because I’m good at something),,1: 2,
645564,0,,1: 1,,Southeast,,First-year,,Blonde,,East,,Basketball,,yes,,none of these,,Instagram,,it’s complicated,,1: 2,,1: 1,,1: 1,,Peanut butter,,black,,1: 6,,1: 16,,1: 2,,Inside,,None of the above,,1: 2,,No,,Soy Sauce,,yes,,"no, I was not eligible due to age or citizenship status",,Athletic Team,,Time,,1: 10,,1: 7,,1: 0,,1: 1,,Pepsi,,Chandler,,3,,I don’t know what you are talking about.,,Friends,,Burrito Bowl,,Jigglypuff,,1: 5,,Blue,,Cat,,Pizza,,chocolate,,Chipotle,,No,,No,,Clean Laundry,,1: 50,,salad bar,,Hunger Games,,Harry Potter,,Gryffindor (because I’m a badass),,1: 2,
645673,0,,1: 1,,Midwest,,Senior,,Blonde,,West,,Other,,yes,,none of these,,Instagram,,yes,,1: 1,,1: 2,,1: 1,,Some combination of two,,black,,1: 7,,1: 18,,1: 5,,What even is the Perimeter ,,Edens Cafe (lol),,1: 10,,Yes,,Maple Syrup,,no,,yes,,SLG,,Time,,1: 9,,1: 1,,1: 0,,1: 0,,Coke,,Ross,,2,,I don’t know what you are talking about.,,Friends,,Burrito Bowl,,Charizard,,1: 7,,Goat,,Dog,,Pizza,,chocolate,,Parker and Otis,,Sometimes,,Yes,,Bakery,,1: 52,,powdered eggs,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 1,
645737,0,,1: 0,,New England,,First-year,,Brown,,East,,Football,,hell yes,,none of these,,Youtube,,no,,1: 1,,1: 2,,1: 0,,All three,,none,,1: 4,,1: 15,,1: 2,,What even is the Perimeter ,,The Loop,,1: 6,,No,,Maple Syrup,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Outer space,,1: 3,,1: 2,,1: 0,,1: 0,,Coke,,Chandler,,2,,House Stark,,Breaking Bad,,Burrito Bowl,,Blastoise,,1: 6,,Cheddar,,Dog,,Pitchforks,,chocolate,,Chipotle,,No,,No,,Pine,,1: 50,,powdered eggs,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 0,
645959,0,,1: 1,,Southeast,,Sophomore,,Blonde,,West,,Basketball,,yes,,none of these,,Facebook,,it’s complicated,,1: 1,,1: 2,,1: 0,,Nutella,,none,,1: 8,,1: 14,,1: 2,,What even is the Perimeter ,,Divinity Refectory,,1: 5,,Yes,,Honey Mustard,,no,,yes,,Independent,,Time,,1: 9,,1: 1,,1: 0,,1: 1,,Coke,,Monica,,2,,I don’t know what you are talking about.,,Gilmore Girls,,Burrito Bowl,,Jigglypuff,,1: 6,,Cheddar,,Dog,,Pizza,,vanilla,,Parker and Otis,,Sometimes,,No,,Clean Laundry,,1: 55,,watery pasta,,Hunger Games,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 0,
646115,0,,No Answer,,Southeast,,First-year,,Brown,,East,,Football,,hell yes,,Taylor swift,,Instagram,,it’s complicated,,1: 1,,1: 2,,1: 1,,Some combination of two,,unsure,,1: 5,,1: 14,,1: 4,,Inside,,Divinity Refectory,,1: 2,,Yes,,Honey Mustard,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 3,,1: 2,,1: 2,,1: 3,,Coke,,Joey,,3,,I don’t know what you are talking about.,,Breaking Bad,,Burrito Bowl,,Charizard,,1: 6,,Pepperjack,,Dog,,Pizza,,chocolate,,Cosmic,,Shhhhh….,,No,,Pine,,1: 60,,powdered eggs,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 0,
646152,0,,1: 1,,Midwest,,Senior,,Brown,,West,,Other,,hell yes,,none of these,,Facebook,,yes,,1: 2,,1: 2,,1: 1,,Peanut butter,,blue,,1: 14,,1: 15,,1: 2,,What even is the Perimeter ,,Other,,1: 2,,No,,Maple Syrup,,no,,yes,,Independent,,Time,,1: 3,,1: 2,,1: 0,,1: 3,,Coke,,Chandler,,3,,House Lannister,,Breaking Bad,,Burrito,,Jigglypuff,,1: 5,,None of the above,,Cat,,Cookout,,chocolate,,Chipotle,,No,,No,,Bakery,,1: 55,,powdered eggs,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 0,
646344,0,,1: 0,,New England,,Junior,,Brown,,Central,,Soccer,,hell yes,,Beyonce,,Facebook,,no,,1: 1,,1: 3,,1: 3,,Nutella,,none,,1: 15,,1: 15,,1: 0,,What even is the Perimeter ,,Other,,1: 10,,Yes,,Soy Sauce,,no,,yes,,Greek life,,Time,,1: 11,,1: 1,,1: 3,,1: 0,,Coke,,Rachel,,3,,House Stark,,House of Cards,,Soft tacos,,Charizard,,1: 5,,Brie,,Dog,,Cookout,,chocolate,,Chipotle,,No,,Yes,,Bakery,,1: 51,,salad bar,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 6,
646477,0,,1: 1,,Midwest,,Junior,,Brown,,West,,Soccer,,hell yes,,none of these,,Facebook,,no,,1: 0,,1: 2,,1: 0,,Nutella,,none,,1: 8,,1: 8,,1: 16,,What even is the Perimeter ,,Edens Cafe (lol),,1: 10,,Yes,,Honey Mustard,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 9,,1: 2,,1: 0,,1: 0,,Neither they’re nasty,,Chandler,,5,,I don’t know what you are talking about.,,Breaking Bad,,Soft tacos,,Jigglypuff,,1: 7,,Pepperjack,,Dog,,Cookout,,chocolate,,Chipotle,,Sometimes,,Yes,,Clean Laundry,,1: 46.5,,watery pasta,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 0,
