Submission Id,Final Score,Grader's comments,"Part 1, Question 1, Pool Class survey S15, Response","Part 1, Question 1, Pool Class survey S15, Grader's comments","Part 1, Question 2, Pool Class survey S15, Response","Part 1, Question 2, Pool Class survey S15, Grader's comments","Part 1, Question 3, Pool Class survey S15, Response","Part 1, Question 3, Pool Class survey S15, Grader's comments","Part 1, Question 4, Pool Class survey S15, Response","Part 1, Question 4, Pool Class survey S15, Grader's comments","Part 1, Question 5, Pool Class survey S15, Response","Part 1, Question 5, Pool Class survey S15, Grader's comments","Part 1, Question 6, Pool Class survey S15, Response","Part 1, Question 6, Pool Class survey S15, Grader's comments","Part 1, Question 7, Pool Class survey S15, Response","Part 1, Question 7, Pool Class survey S15, Grader's comments","Part 1, Question 8, Pool Class survey S15, Response","Part 1, Question 8, Pool Class survey S15, Grader's comments","Part 1, Question 9, Pool Class survey S15, Response","Part 1, Question 9, Pool Class survey S15, Grader's comments","Part 1, Question 10, Pool Class survey S15, Response","Part 1, Question 10, Pool Class survey S15, Grader's comments","Part 1, Question 11, Pool Class survey S15, Response","Part 1, Question 11, Pool Class survey S15, Grader's comments","Part 1, Question 12, Pool Class survey S15, Response","Part 1, Question 12, Pool Class survey S15, Grader's comments","Part 1, Question 13, Pool Class survey S15, Response","Part 1, Question 13, Pool Class survey S15, Grader's comments","Part 1, Question 14, Pool Class survey S15, Response","Part 1, Question 14, Pool Class survey S15, Grader's comments","Part 1, Question 15, Pool Class survey S15, Response","Part 1, Question 15, Pool Class survey S15, Grader's comments","Part 1, Question 16, Pool Class survey S15, Response","Part 1, Question 16, Pool Class survey S15, Grader's comments","Part 1, Question 17, Pool Class survey S15, Response","Part 1, Question 17, Pool Class survey S15, Grader's comments","Part 1, Question 18, Pool Class survey S15, Response","Part 1, Question 18, Pool Class survey S15, Grader's comments","Part 1, Question 19, Pool Class survey S15, Response","Part 1, Question 19, Pool Class survey S15, Grader's comments","Part 1, Question 20, Pool Class survey S15, Response","Part 1, Question 20, Pool Class survey S15, Grader's comments","Part 1, Question 21, Pool Class survey S15, Response","Part 1, Question 21, Pool Class survey S15, Grader's comments","Part 1, Question 22, Pool Class survey S15, Response","Part 1, Question 22, Pool Class survey S15, Grader's comments","Part 1, Question 23, Pool Class survey S15, Response","Part 1, Question 23, Pool Class survey S15, Grader's comments","Part 1, Question 24, Pool Class survey S15, Response","Part 1, Question 24, Pool Class survey S15, Grader's comments","Part 1, Question 25, Pool Class survey S15, Response","Part 1, Question 25, Pool Class survey S15, Grader's comments","Part 1, Question 26, Pool Class survey S15, Response","Part 1, Question 26, Pool Class survey S15, Grader's comments","Part 1, Question 27, Pool Class survey S15, Response","Part 1, Question 27, Pool Class survey S15, Grader's comments","Part 1, Question 28, Pool Class survey S15, Response","Part 1, Question 28, Pool Class survey S15, Grader's comments","Part 1, Question 29, Pool Class survey S15, Response","Part 1, Question 29, Pool Class survey S15, Grader's comments","Part 1, Question 30, Pool Class survey S15, Response","Part 1, Question 30, Pool Class survey S15, Grader's comments","Part 1, Question 31, Pool Class survey S15, Response","Part 1, Question 31, Pool Class survey S15, Grader's comments","Part 1, Question 32, Pool Class survey S15, Response","Part 1, Question 32, Pool Class survey S15, Grader's comments","Part 1, Question 33, Pool Class survey S15, Response","Part 1, Question 33, Pool Class survey S15, Grader's comments","Part 1, Question 34, Pool Class survey S15, Response","Part 1, Question 34, Pool Class survey S15, Grader's comments","Part 1, Question 35, Pool Class survey S15, Response","Part 1, Question 35, Pool Class survey S15, Grader's comments","Part 1, Question 36, Pool Class survey S15, Response","Part 1, Question 36, Pool Class survey S15, Grader's comments","Part 1, Question 37, Pool Class survey S15, Response","Part 1, Question 37, Pool Class survey S15, Grader's comments","Part 1, Question 38, Pool Class survey S15, Response","Part 1, Question 38, Pool Class survey S15, Grader's comments","Part 1, Question 39, Pool Class survey S15, Response","Part 1, Question 39, Pool Class survey S15, Grader's comments","Part 1, Question 40, Pool Class survey S15, Response","Part 1, Question 40, Pool Class survey S15, Grader's comments","Part 1, Question 41, Pool Class survey S15, Response","Part 1, Question 41, Pool Class survey S15, Grader's comments","Part 1, Question 42, Pool Class survey S15, Response","Part 1, Question 42, Pool Class survey S15, Grader's comments","Part 1, Question 43, Pool Class survey S15, Response","Part 1, Question 43, Pool Class survey S15, Grader's comments","Part 1, Question 44, Pool Class survey S15, Response","Part 1, Question 44, Pool Class survey S15, Grader's comments","Part 1, Question 45, Pool Class survey S15, Response","Part 1, Question 45, Pool Class survey S15, Grader's comments","Part 1, Question 46, Pool Class survey S15, Response","Part 1, Question 46, Pool Class survey S15, Grader's comments","Part 1, Question 47, Pool Class survey S15, Response","Part 1, Question 47, Pool Class survey S15, Grader's comments","Part 1, Question 48, Pool Class survey S15, Response","Part 1, Question 48, Pool Class survey S15, Grader's comments","Part 1, Question 49, Pool Class survey S15, Response","Part 1, Question 49, Pool Class survey S15, Grader's comments","Part 1, Question 50, Pool Class survey S15, Response","Part 1, Question 50, Pool Class survey S15, Grader's comments","Part 1, Question 51, Pool Class survey S15, Response","Part 1, Question 51, Pool Class survey S15, Grader's comments","Part 1, Question 52, Pool Class survey S15, Response","Part 1, Question 52, Pool Class survey S15, Grader's comments","Part 1, Question 53, Pool Class survey S15, Response","Part 1, Question 53, Pool Class survey S15, Grader's comments"
635923,0,,1: 1,,Southeast,,Junior,,Brown,,West,,Basketball,,yes,,Taylor swift,,Facebook,,no,,1: 2,,1: 1,,1: 0,,Nutella,,unsure,,1: 15,,1: 17,,1: 4,,What even is the Perimeter ,,None of the above,,1: 10,,Yes,,Soy Sauce,,no,,yes,,Greek life,,Time,,1: 11,,1: 0,,1: 4,,1: 5,,Neither they’re nasty,,Phoebe,,4,,I don’t know what you are talking about.,,Gilmore Girls,,Burrito,,Charizard,,1: 5,,Brie,,Dog,,Cosmic,,other,,Parker and Otis,,No,,No,,Bakery,,1: 54,,salad bar,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 2,
635924,0,,1: 0,,Southeast,,First-year,,Brown,,East,,Football,,hell yes,,Taylor swift,,Instagram,,no,,1: 2,,1: 2,,1: 3,,Nutella,,none,,1: 7,,1: 16,,1: 6,,Inside,,The Loop,,1: 4,,No,,Honey Mustard,,no,,"no, I was not eligible due to age or citizenship status",,Greek life,,Time,,1: 11,,1: 10,,1: 2,,1: 1,,Coke,,Chandler,,2,,I don’t know what you are talking about.,,Friends,,Burrito Bowl,,Charizard,,1: 5,,Cheddar,,Dog,,Pizza,,vanilla,,Chipotle,,No,,Yes,,Pizza,,1: 55,,chocolate covered crickets,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 2,
635933,0,,1: 0,,Not from the US,,Sophomore,,Black,,West,,Soccer,,no,,none of these,,Facebook,,no,,1: 2,,1: 3,,1: 0,,Some combination of two,,none,,1: 4,,1: NA,,1: 3,,What even is the Perimeter ,,Other,,1: 8,,No,,Soy Sauce,,no,,"no, I was not eligible due to age or citizenship status",,SLG,,Time,,1: 11,,1: 0,,1: 1,,1: 1,,Neither they’re nasty,,Phoebe,,5,,I don’t know what you are talking about.,,Gilmore Girls,,Soft tacos,,Jigglypuff,,1: 7,,None of the above,,Dog,,Pitchforks,,fruity,,Harris Teeter’s,,No,,Yes,,Bakery,,1: 46,,watery pasta,,Hunger Games,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 0,
635936,0,,1: 1,,Pacific Northwest,,Junior,,Brown,,Off campus,,Football,,hell yes,,Kanye West,,Snapchat,,no,,1: 2,,1: 1,,1: 6,,Some combination of two,,none,,1: 2,,1: 13,,1: 8,,Outside,,The Loop,,1: 10,,Yes,,Ketchup,,no,,"no, I was eligible but chose not to vote",,Greek life,,Time,,1: 1,,1: 1,,1: 0,,1: 0,,Coke,,Joey,,1,,House Targaryen,,House of Cards,,Burrito Bowl,,Charizard,,1: 8,,Pepperjack,,Dog,,Pitchforks,,chocolate,,Chipotle,,Sometimes,,No,,Clean Laundry,,1: 52.5,,powdered eggs,,Harry Potter,,Game of Thrones,,Gryffindor (because I’m a badass),,1: 12,
635946,0,,1: 7,,Southwest,,Sophomore,,Brown,,West,,I don’t watch sports,,hell yes,,none of these,,Instagram,,it’s complicated,,1: 7,,1: 3,,1: 1,,Some combination of two,,white,,1: 2,,1: 16,,1: 0,,Outside,,Divinity Refectory,,1: 10,,Yes,,Honey Mustard,,yes,,yes,,SLG,,Time,,1: 3,,1: 0,,1: 0,,1: 1,,Neither they’re nasty,,Rachel,,2,,I don’t know what you are talking about.,,Gilmore Girls,,Burrito,,Charizard,,1: 6,,Goat,,Cat,,Cookout,,sweet-and-salty,,Cosmic,,No,,No,,Bakery,,1: 52,,the giant roasted hog,,Lord of the Rings/Hobbit,,Lord of the Rings,,Gryffindor (because I’m a badass),,1: 0,
635947,0,,1: 1,,Mid-Atlantic,,Sophomore,,Brown,,West,,Basketball,,hell yes,,Beyonce,,Instagram,,no,,1: 2,,1: 1,,1: 2,,Nutella,,black,,1: 15,,1: 12,,1: 8,,Outside,,Divinity Refectory,,1: 6,,Yes,,Maple Syrup,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 10,,1: 1,,1: 0,,1: 10,,Neither they’re nasty,,Ross,,5,,House Targaryen,,How I Met Your Mother,,Burrito Bowl,,Jigglypuff,,1: 6,,Pepperjack,,Dog,,Pizza,,vanilla,,Parker and Otis,,No,,No,,Pizza,,1: 58.5,,powdered eggs,,Hunger Games,,Harry Potter,,Gryffindor (because I’m a badass),,1: 1,
635960,0,,1: 3,,Midwest,,First-year,,Blonde,,East,,I don’t watch sports,,meh,,Taylor swift,,No Answer,,no,,1: 2,,1: 2,,1: 2,,Peanut butter,,none,,1: 5,,1: 15,,1: 0,,What even is the Perimeter ,,Divinity Refectory,,1: 20,,Yes,,No Answer,,no,,"no, I was not eligible due to age or citizenship status",,Greek life,,Outer space,,1: 18,,1: 0,,1: 2,,1: 0,,Neither they’re nasty,,Joey,,3,,I don’t know what you are talking about.,,How I Met Your Mother,,Salad,,Charizard,,1: 5,,Brie,,Dog,,No Answer,,chocolate,,Harris Teeter’s,,No,,No,,Clean Laundry,,1: 51,,the giant roasted hog,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,No Answer,
635970,0,,1: 0,,Mid-Atlantic,,Sophomore,,Brown,,West,,Basketball,,yes,,Kanye West,,Facebook,,no,,1: 1,,1: 1,,1: 2,,Nutella,,none,,1: 4,,1: 17,,1: 3,,N/A,,Edens Cafe (lol),,1: 15,,No,,Soy Sauce,,no,,"no, I was not eligible due to age or citizenship status",,SLG,,Time,,1: 2,,1: 1,,1: 0,,1: 17,,Coke,,Chandler,,2,,House Stark,,Breaking Bad,,Burrito,,Charizard,,1: 8,,Cheddar,,Dog,,Cookout,,chocolate,,Chipotle,,Sometimes,,Yes,,Clean Laundry,,1: 54,,salad bar,,Game of Thrones,,Game of Thrones,,Ravenclaw (because I’m better than you),,1: 3,
635972,0,,1: 1,,Mid-Atlantic,,Sophomore,,Blonde,,Central,,Basketball,,hell yes,,Taylor swift,,Instagram,,no,,1: 4,,1: 2,,1: 2,,Peanut butter,,white,,1: 4,,1: 13,,1: .5,,What even is the Perimeter ,,Edens Cafe (lol),,1: 15,,Yes,,Ketchup,,no,,"no, I was not eligible due to age or citizenship status",,Greek life,,Time,,1: 1,,1: 0,,1: 0,,1: 3,,Coke,,Chandler,,3,,I don’t know what you are talking about.,,Friends,,Quesadilla,,Jigglypuff,,1: 7,,None of the above,,Dog,,Pitchforks,,vanilla,,Chipotle,,Sometimes,,Yes,,Clean Laundry,,No Answer,,powdered eggs,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 3,
635975,0,,1: 1,,Midwest,,First-year,,Brown,,East,,Basketball,,yes,,none of these,,Instagram,,it’s complicated,,1: 2,,1: 2,,1: 2,,Peanut butter,,unsure,,1: 3,,1: 14,,1: 1,,All of the Above,,Other,,1: 4,,Yes,,Sriracha,,yes,,"no, I was not eligible due to age or citizenship status",,SLG,,Time,,1: 13,,1: 0,,1: 7,,1: 1,,Neither they’re nasty,,Rachel,,2,,I don’t know what you are talking about.,,House of Cards,,Burrito Bowl,,Jigglypuff,,1: 4,,Brie,,Dog,,Cosmic,,other,,Chamas,,Sometimes,,Yes,,Pine,,1: 52,,watery pasta,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 1,
