"title","title_type","directors","imdb_rating","runtime","year","genres","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Corky Romano","Feature Film","Rob Pritts",4.6,86,"2001","comedy, crime",10300,"2001-10-12","http://www.imdb.com/title/tt0250310/","0250310","Corky Romano",2001,"Comedy","PG-13","85","Rotten",6,"Spilled",39,"Chris Kattan","Vinessa Shaw","Peter Falk","Peter Berg","Chris Penn","Rob Pritts","Buena Vista Pictures","http://www.rottentomatoes.com/m/corky_romano/"
"Girl, Interrupted","Feature Film","James Mangold",7.3,127,"1999","biography, drama",109985,"1999-12-08","http://www.imdb.com/title/tt0172493/","0172493","Girl, Interrupted",1999,"Drama","R","127","Rotten",54,"Upright",84,"Winona Ryder","Angelina Jolie","Whoopi Goldberg","Vanessa Redgrave","Brittany Murphy","James Mangold","Sony Pictures","http://www.rottentomatoes.com/m/girl_interrupted/"
"The Lost Battalion","TV Movie","Russell Mulcahy",7.1,92,"2001","action, drama, war",4719,"2001-12-02","http://www.imdb.com/title/tt0287535/","0287535","The Lost Battalion",2001,"Drama","Unrated","100",NA,-1,"Upright",81,"Rick Schroder","Phil McKee","Jamie Harris","Jay Rodan","Adam James","Russel Mulcahy",NA,"http://www.rottentomatoes.com/m/the_lost_battalion_2001/"
"Funny Farm","Feature Film","George Roy Hill",6.1,101,"1988","comedy, drama",13837,"1988-06-03","http://www.imdb.com/title/tt0095188/","0095188","Funny Farm",1988,"Comedy","PG","101","Fresh",67,"Spilled",50,"Chevy Chase","Madolyn Smith Osborne","Kevin O'Morrison","Joseph Maher","Jack Gilpin","George Roy Hill","Warner Home Video","http://www.rottentomatoes.com/m/1007990-funny_farm/"
"Rapa Nui","Feature Film","Kevin Reynolds",6.4,107,"1994","action, adventure, drama, history, romance",3468,"1994-04-14","http://www.imdb.com/title/tt0110944/","0110944","Rapa Nui",1994,"Drama","R","107",NA,-1,"Upright",62,"Jason Scott Lee","Esai Morales","Sandrine Holt","Eru Potaka-Dewes","George Henare","Kevin Reynolds","Warner Home Video","http://www.rottentomatoes.com/m/rapanui/"
"Exorcist: The Beginning","Feature Film","Renny Harlin",5.1,114,"2004","horror, mystery, thriller",26842,"2004-08-18","http://www.imdb.com/title/tt0204313/","0204313","Exorcist: The Beginning",2004,"Drama","R","114","Rotten",11,"Spilled",27,"Stellan Skarsgard","James D'Arcy","Izabella Scorupco","Remy Sweeney","Julian Wadham","Renny Harlin","Warner Bros. Pictures","http://www.rottentomatoes.com/m/exorcist_the_beginning/"
"Keeping the Faith","Feature Film","Edward Norton",6.5,128,"2000","comedy, drama, romance",42430,"2000-04-14","http://www.imdb.com/title/tt0171433/","0171433","Keeping the Faith",2000,"Comedy","PG-13","127","Fresh",69,"Spilled",59,"Ben Stiller","Edward Norton","Jenna Elfman","Anne Bancroft","Eli Wallach","Edward Norton","Touchstone Pictures","http://www.rottentomatoes.com/m/keeping_the_faith/"
"D.O.A.","Feature Film","Annabel Jankel, Rocky Morton",6.1,96,"1988","mystery, thriller",7479,"1988-03-18","http://www.imdb.com/title/tt0094933/","0094933","D.O.A.",1988,"Mystery & Suspense","R","98","Fresh",61,"Spilled",31,"Dennis Quaid","Meg Ryan","Charlotte Rampling","Daniel Stern","Jane Kaczmarek","Annabel Jankel",NA,"http://www.rottentomatoes.com/m/1005108-doa/"
"Day of the Dead","Feature Film","Steve Miner",4.5,86,"2008","action, horror",16798,"2008-04-08","http://www.imdb.com/title/tt0489018/","0489018","Day of the Dead",2008,"Mystery & Suspense","R","87","Rotten",14,"Spilled",22,"Ving Rhames","Mena Suvari","Michael Welch","Christa Campbell","Nick Cannon","Steve Miner","First Look International","http://www.rottentomatoes.com/m/10008607-day_of_the_dead/"
"I Love You to Death","Feature Film","Lawrence Kasdan",6.4,97,"1990","comedy, crime",10178,"1990-04-06","http://www.imdb.com/title/tt0099819/","0099819","I Love You to Death",1990,"Drama","R","97","Rotten",56,"Upright",64,"Tracey Ullman","Kevin Kline","Joan Plowright","River Phoenix","William Hurt","Lawrence Kasdan","Sony Pictures Home Entertainment","http://www.rottentomatoes.com/m/i_love_you_to_death/"
