rank,title,inf_ad_bo
1,Gone with the Wind,1676970400
2,Star Wars,1478392600
3,The Sound of Music,1182047600
4,E.T.: The Extra-Terrestrial,1177391000
5,Titanic,1124438100
6,The Ten Commandments,1087300000
7,Jaws,1063054200
8,Doctor Zhivago,1030324300
9,The Exorcist,917973100
10,Snow White and the Seven Dwarfs,904700000
11,101 Dalmatians,829313200
12,The Empire Strikes Back,814899300
13,Ben-Hur,813400000
14,Avatar,807218700
15,Return of the Jedi,780693100
16,Jurassic Park,762952200
17,Star Wars: Episode I - The Phantom Menace,749590200
18,The Lion King,739915300
19,The Sting,739885700
20,Raiders of the Lost Ark,734772300
21,The Graduate,710287000
22,Fantasia,689260900
23,The Godfather,655057300
24,Forrest Gump,652484300
25,Mary Poppins,648909100
26,Grease,638844400
27,Marvel's The Avengers,637176200
28,Thunderball,620840000
29,The Dark Knight,617979500
30,The Jungle Book,611543300
31,Sleeping Beauty,603211300
32,Ghostbusters,590631600
33,Shrek 2,589722700
34,Butch Cassidy and the Sundance Kid,585630200
35,Love Story,580984600
36,Spider-Man,576723400
37,Independence Day,574931700
38,Home Alone,562193800
39,Pinocchio,559447700
40,Cleopatra (1963),557622700
41,Beverly Hills Cop,557345100
42,Goldfinger,550290000
43,Airport,548723700
44,American Graffiti,545428600
45,The Robe,543272700
46,Pirates of the Caribbean: Dead Man's Chest,536415500
47,Around the World in 80 Days,536307700
48,Bambi,528813300
49,Blazing Saddles,524888900
50,Batman,522523300
51,The Bells of St. Mary's,520784300
52,The Lord of the Rings: The Return of the King,511609500
53,Finding Nemo,511478300
54,The Towering Inferno,509418000
55,Spider-Man 2,499317600
56,My Fair Lady,498000000
57,The Greatest Show on Earth,498000000
58,National Lampoon's Animal House,497089200
59,The Passion of the Christ,495550200
60,Star Wars: Episode III - Revenge of the Sith,492394000
61,Back to the Future,490120400
62,The Lord of the Rings: The Two Towers,479119800
63,The Dark Knight Rises,478091800
64,The Sixth Sense,477906800
65,Superman,476072500
66,Tootsie,472302700
67,Smokey and the Bandit,471713300
68,West Side Story,464553400
69,Harry Potter and the Sorcerer's Stone,464077700
70,Lady and the Tramp,462599500
71,Close Encounters of the Third Kind,461277000
72,Lawrence of Arabia,459683500
73,The Rocky Horror Picture Show,457076200
74,Rocky,456831800
75,The Best Years of Our Lives,456500000
76,The Poseidon Adventure,455686300
77,The Lord of the Rings: The Fellowship of the Ring,454834000
78,Twister,453911500
79,Men in Black,453318400
80,The Bridge on the River Kwai,451520000
81,Transformers: Revenge of the Fallen,447377700
82,"It's a Mad, Mad, Mad, Mad World",447166000
83,Swiss Family Robinson,446606400
84,One Flew Over the Cuckoo's Nest,445588500
85,M.A.S.H.,445578900
86,Indiana Jones and the Temple of Doom,444322400
87,Star Wars: Episode II - Attack of the Clones,443788300
88,Mrs. Doubtfire,437280400
89,Aladdin,435271500
90,Toy Story 3,433275500
91,Ghost,427161300
92,The Hunger Games: Catching Fire,424251600
93,Duel in the Sun,423469400
94,The Hunger Games,421957900
