"title","audience_score","type","genre","runtime","year","mpaa_rating","imdb_num_votes","critics_score","critics_rating","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","audience_rating","director","actor1","actor2","actor3","actor4","actor5","rt_url","imdb_url","imdb_id"
"Dirty Love",68,"Feature Film","Comedy",91,2005,"R",5796,4,"Rotten","no","no","no","no","no","Upright","John Mallory Asher","Jenny McCarthy","Carmen Electra","Eddie Kaye Thomas","Kathy Griffin","Kam Heskin","http://www.rottentomatoes.com/m/dirty_love/","http://www.imdb.com/title/tt0327643/","327643"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",61,"Feature Film","Other",143,2005,"PG",234214,76,"Certified Fresh","no","no","no","no","no","Upright","Marilyn Fox","Georgie Henley","Skandar Keynes","William Moseley","Anna Popplewell","Tilda Swinton","http://www.rottentomatoes.com/m/chronicles_of_narnia_lion_witch_wardrobe/","http://www.imdb.com/title/tt0363771/","363771"
"Delirious",42,"Feature Film","Other",96,1991,"PG",5228,44,"Rotten","no","no","no","no","no","Spilled","Tom Mankiewicz","John Candy","Mariel Hemingway","Emma Samms","Raymond Burr","Dylan Baker","http://www.rottentomatoes.com/m/delirious/","http://www.imdb.com/title/tt0101701/","101701"
"Maximum Risk",35,"Feature Film","Action & Adventure",101,1996,"R",13784,28,"Rotten","no","no","no","no","no","Spilled","Ringo Lam","Jean-Claude Van Damme","Natasha Henstridge","Jean-Hugues Anglade","Zach Grenier","Stephane Audran","http://www.rottentomatoes.com/m/maximum_risk/","http://www.imdb.com/title/tt0117011/","117011"
"The Signal",58,"Feature Film","Horror",103,2007,"R",16924,57,"Rotten","no","no","no","no","no","Spilled","David Bruckner","Matt Stanton","AJ Bowen","Anessa Ramsey","Justin Welborn","Scott Poythress","http://www.rottentomatoes.com/m/signal/","http://www.imdb.com/title/tt0780607/","780607"
"Dark Tide",15,"Feature Film","Mystery & Suspense",114,2012,"PG-13",5882,0,"Rotten","no","no","no","yes","no","Spilled","John Stockwell","Halle Berry","Olivier Martinez","Ralph Brown","Luke Tyler","Thoko Ntshinga","http://www.rottentomatoes.com/m/dark_tide_2011/","http://www.imdb.com/title/tt1507563/","1507563"
"Squirm",27,"Feature Film","Horror",92,1976,"R",3352,31,"Rotten","no","no","no","no","no","Spilled","Jeff Lieberman","Don Scardino","Patricia Pearcy","R.A. Dow","Jean Sullivan","Peter MacLean","http://www.rottentomatoes.com/m/squirm/","http://www.imdb.com/title/tt0075261/","75261"
"Committed",35,"Feature Film","Drama",98,2000,"R",2860,45,"Rotten","no","no","no","no","no","Spilled","Lisa Krueger","Heather Graham","Casey Affleck","Luke Wilson","Goran Visnjic","Clea DuVall","http://www.rottentomatoes.com/m/1096844-committed/","http://www.imdb.com/title/tt0144142/","144142"
"Problem Child 2",41,"Feature Film","Comedy",90,1991,"PG-13",14880,7,"Rotten","no","no","no","no","no","Spilled","Dennis Dugan","Michael Oliver","John Ritter","Jack Warden","Laraine Newman","Amy Yasbeck","http://www.rottentomatoes.com/m/problem_child_2/","http://www.imdb.com/title/tt0102719/","102719"
"The Baby-Sitters Club",48,"Feature Film","Comedy",94,1995,"PG",3825,64,"Fresh","no","no","no","no","no","Spilled","Lynn Hamrick","Schuyler Fisk","Rachael Leigh Cook","Bre Blair","Larisa Oleynik","Tricia Joe","http://www.rottentomatoes.com/m/babysitters_club_the_movie/","http://www.imdb.com/title/tt0112435/","112435"
"King of the Hill",83,"Feature Film","Drama",103,1993,"PG-13",5027,97,"Fresh","no","no","no","no","yes","Upright","Steven Soderbergh","Jesse Bradford","Karen Allen","Jeroen Krabbe","Lisa Eichhorn","Spalding Gray","http://www.rottentomatoes.com/m/1046045-king_of_the_hill/","http://www.imdb.com/title/tt0107322/","107322"
"The Omen",40,"Feature Film","Mystery & Suspense",110,2006,"R",43831,27,"Rotten","no","no","no","no","no","Spilled","John Moore","Julia Stiles","Liev Schreiber","Mia Farrow","David Thewlis","Pete Postlethwaite","http://www.rottentomatoes.com/m/omen/","http://www.imdb.com/title/tt0466909/","466909"
"Without a Clue",73,"Feature Film","Mystery & Suspense",107,1988,"PG",6269,56,"Rotten","no","no","yes","no","no","Upright","Thom Eberhardt","Michael Caine","Ben Kingsley","Jeffrey Jones","Lysette Anthony","Matthew Sim","http://www.rottentomatoes.com/m/without_a_clue/","http://www.imdb.com/title/tt0096454/","96454"
"Reds",83,"Feature Film","Drama",195,1981,"PG",14293,94,"Fresh","yes","no","yes","yes","yes","Upright","Warren Beatty","Diane Keaton","Maureen Stapleton","Jack Nicholson","Edward Herrmann","Jerzy Kosinski","http://www.rottentomatoes.com/m/reds/","http://www.imdb.com/title/tt0082979/","82979"
"The Big Red One",78,"Feature Film","Drama",113,1980,"PG",13653,91,"Certified Fresh","no","no","yes","no","no","Upright","Samuel Fuller","Lee Marvin","Mark Hamill","Robert Carradine","Bobby Di Cicco","Kelly Ward","http://www.rottentomatoes.com/m/big_red_one/","http://www.imdb.com/title/tt0080437/","80437"
"Secondhand Lions",84,"Feature Film","Drama",111,2003,"PG",38646,59,"Rotten","no","no","yes","no","no","Upright","Tim McCanlies","Michael Caine","Robert Duvall","Haley Joel Osment","Kyra Sedgwick","Nicky Katt","http://www.rottentomatoes.com/m/secondhand_lions/","http://www.imdb.com/title/tt0327137/","327137"
"Ondine",60,"Feature Film","Drama",111,2009,"PG-13",14713,70,"Fresh","no","no","no","no","no","Upright","Neil Jordan","Colin Farrell","Alicja Bachleda-Curus","Alison Barry","Dervla Kirwan","Stephen Rea","http://www.rottentomatoes.com/m/ondine/","http://www.imdb.com/title/tt1235796/","1235796"
"Tamara Drewe",42,"Feature Film","Drama",107,2010,"R",14669,66,"Fresh","no","no","no","no","no","Spilled","Stephen Frears","Gemma Arterton","Roger Allam","Bill Camp","Dominic Cooper","Luke Evans","http://www.rottentomatoes.com/m/tamara_drewe_2010/","http://www.imdb.com/title/tt1486190/","1486190"
"Jesus Christ Superstar",77,"Feature Film","Drama",108,1973,"G",17239,57,"Rotten","no","no","no","no","no","Upright","Norman Jewison","Ted Neeley","Carl Anderson (II)","Yvonne Elliman","Barry Dennen","Bob Bingham","http://www.rottentomatoes.com/m/1011028-jesus_christ_superstar/","http://www.imdb.com/title/tt0070239/","70239"
"Iron Man",91,"Feature Film","Drama",126,2008,"PG-13",523480,93,"Certified Fresh","no","no","yes","yes","no","Upright","Jon Favreau","Robert Downey Jr.","Terrence Howard","Jeff Bridges","Gwyneth Paltrow","Leslie Bibb","http://www.rottentomatoes.com/m/iron_man/","http://www.imdb.com/title/tt0371746/","371746"
"Flawless",55,"Feature Film","Mystery & Suspense",108,2007,"PG-13",16669,56,"Rotten","no","no","no","no","no","Spilled","Michael Radford","Demi Moore","David Henry","Michael Caine","Joss Ackland","Nathaniel Parker","http://www.rottentomatoes.com/m/10008754-flawless/","http://www.imdb.com/title/tt0780516/","780516"
"Cats Don't Dance",80,"Feature Film","Other",75,1997,"G",5026,69,"Fresh","no","no","no","no","no","Upright","Mark Dindal","Lindsay Rideway","Mathew Herried","Scott Bakula","Jasmine Guy","Natalie Cole","http://www.rottentomatoes.com/m/cats_dont_dance/","http://www.imdb.com/title/tt0118829/","118829"
"Sometimes a Great Notion",78,"Feature Film","Drama",114,1970,"PG",2231,100,"Fresh","no","no","yes","no","no","Upright","Paul Newman","Henry Fonda","Lee Remick","Michael Sarrazin","Richard Jaeckel","Linda Lawson","http://www.rottentomatoes.com/m/sometimes_a_great_notion/","http://www.imdb.com/title/tt0067774/","67774"
"Exam",57,"Feature Film","Horror",101,2009,"Unrated",47054,63,"Fresh","no","no","no","no","no","Spilled","Stuart Hazeldine","Pollyanna Macintosh","Colin Salmon","Chuk Iwuji","Nathalie Cox","Jimi Mistry","http://www.rottentomatoes.com/m/exam_2008/","http://www.imdb.com/title/tt1258197/","1258197"
"The Puppet Masters",32,"Feature Film","Other",109,1994,"R",6220,26,"Rotten","no","no","no","no","no","Spilled","Stuart Orme","Donald Sutherland","Eric Thal","Julie Warner","Keith David","Will Patton","http://www.rottentomatoes.com/m/puppet_masters/","http://www.imdb.com/title/tt0111003/","111003"
"The Virginity Hit",31,"Feature Film","Comedy",NA,2010,"R",3246,29,"Rotten","no","no","no","no","no","Spilled","Huck Botko","Matthew Bennett","Matt Bennett","Zack Pearlman","Jacob Davich","Justin Kline","http://www.rottentomatoes.com/m/the_virginity_hit_2010/","http://www.imdb.com/title/tt1695994/","1695994"
"The Chronicles of Riddick",65,"Feature Film","Action & Adventure",119,2004,"PG-13",161152,29,"Rotten","no","no","no","no","no","Upright","Alexa Davalos","Vin Diesel","Colm Feore","Thandie Newton","Judi Dench","Karl Urban","http://www.rottentomatoes.com/m/chronicles_of_riddick/","http://www.imdb.com/title/tt0296572/","296572"
"Dune",68,"Feature Film","Other",137,1984,"PG-13",86069,55,"Rotten","no","no","no","no","no","Upright","David Lynch","Francesca Annis","Leo Cimino","Jose Ferrer","Leonardo Cimino","Brad Dourif","http://www.rottentomatoes.com/m/1006364-dune/","http://www.imdb.com/title/tt0087182/","87182"
"Seven Pounds",75,"Feature Film","Drama",123,2008,"PG-13",196608,27,"Rotten","no","no","no","no","no","Upright","Gabriele Muccino","Rosario Dawson","Woody Harrelson","Michael Ealy","Barry Pepper","Elpidia Carrillo","http://www.rottentomatoes.com/m/seven_pounds/","http://www.imdb.com/title/tt0814314/","814314"
"Sanctum",38,"Feature Film","Drama",108,2011,"R",42381,30,"Rotten","no","no","no","no","no","Spilled","Alister Grierson","Richard Roxburgh","Ioan Gruffudd","Rhys Wakefield","Alice Parkinson","Daniel Wyllie","http://www.rottentomatoes.com/m/sanctum/","http://www.imdb.com/title/tt0881320/","881320"
"The Quick and the Dead",54,"Feature Film","Other",107,1995,"R",59666,55,"Rotten","no","no","yes","no","no","Spilled","Sam Raimi","Gene Hackman","Russell Crowe","Leonardo DiCaprio","Tobin Bell","Roberts Blossom","http://www.rottentomatoes.com/m/1059629-quick_and_the_dead/","http://www.imdb.com/title/tt0114214/","114214"
"Primal Fear",89,"Feature Film","Mystery & Suspense",129,1996,"R",109147,74,"Fresh","no","no","no","no","no","Upright","Gregory Hoblit","Richard Gere","Edward Norton","Laura Linney","Alfre Woodard","John Mahoney","http://www.rottentomatoes.com/m/1070992-primal_fear/","http://www.imdb.com/title/tt0117381/","117381"
"Cocoon: The Return",35,"Feature Film","Drama",116,1988,"PG",10400,36,"Rotten","no","no","no","no","no","Spilled","Daniel Petrie","Don Ameche","Wilford Brimley","Hume Cronyn","Jack Gilford","Steve Guttenberg","http://www.rottentomatoes.com/m/cocoon_the_return/","http://www.imdb.com/title/tt0094890/","94890"
"Avatar",82,"Feature Film","Action & Adventure",162,2009,"PG-13",712023,83,"Certified Fresh","yes","no","no","no","yes","Upright","James Cameron","Zoe Saldana","Sam Worthington","Sigourney Weaver","Stephen Lang","Michelle Rodriguez","http://www.rottentomatoes.com/m/avatar/","http://www.imdb.com/title/tt0499549/","499549"
"Once Bitten",40,"Feature Film","Horror",94,1985,"PG-13",8495,18,"Rotten","no","no","no","no","no","Spilled","Howard Storm","Lauren Hutton","Jim Carrey","Karen Kopins","Cleavon Little","Thomas Ballatore","http://www.rottentomatoes.com/m/once_bitten/","http://www.imdb.com/title/tt0089730/","89730"
"Hiding Out",73,"Feature Film","Mystery & Suspense",98,1987,"PG-13",2120,33,"Rotten","no","no","no","no","no","Upright","Bob Giraldi","Jon Cryer","Keith Coogan","Annabeth Gish","Oliver Cotton","Claudio Brook","http://www.rottentomatoes.com/m/hiding_out/","http://www.imdb.com/title/tt0093186/","93186"
"Trust",94,"Feature Film","Drama",107,1990,"R",6111,82,"Fresh","no","no","no","no","no","Upright","Hal Hartley","John McKay","Christopher Cooke","Merrit Nelson","Adrienne Shelly","Martin Donovan","http://www.rottentomatoes.com/m/trust_1991/","http://www.imdb.com/title/tt0103130/","103130"
"Bullet to the Head",40,"Feature Film","Mystery & Suspense",92,2012,"R",33148,46,"Rotten","no","no","no","no","no","Spilled","Walter Hill","Sylvester Stallone","Sung Kang","Sarah Shahi","Adewale Akinnuoye-Agbaje","Jason Momoa","http://www.rottentomatoes.com/m/bullet_to_the_head/","http://www.imdb.com/title/tt1308729/","1308729"
"The Assignment",62,"Feature Film","Mystery & Suspense",119,1997,"R",6928,58,"Rotten","no","no","yes","no","no","Upright","Christian Duguay","Aidan Quinn","Donald Sutherland","Ben Kingsley","Claudia Ferri","Celine Bonnier","http://www.rottentomatoes.com/m/1079452-assignment/","http://www.imdb.com/title/tt0118647/","118647"
