"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
4481,"tt0250310","Mon Apr 22 18:37:49 2013","Mon Apr 22 18:37:49 2013","","Corky Romano","Feature Film","Rob Pritts",NA,4.6,86,"2001","comedy, crime",10300,"2001-10-12","http://www.imdb.com/title/tt0250310/","0250310"
7813,"tt0172493","Mon Apr 29 17:38:36 2013","Mon Apr 29 17:38:36 2013","","Girl, Interrupted","Feature Film","James Mangold",NA,7.3,127,"1999","biography, drama",109985,"1999-12-08","http://www.imdb.com/title/tt0172493/","0172493"
8677,"tt0287535","Mon Apr 29 19:23:24 2013","Mon Apr 29 19:23:24 2013","","The Lost Battalion","TV Movie","Russell Mulcahy",NA,7.1,92,"2001","action, drama, war",4719,"2001-12-02","http://www.imdb.com/title/tt0287535/","0287535"
7300,"tt0095188","Thu Apr 25 03:00:31 2013","Thu Apr 25 03:00:31 2013","","Funny Farm","Feature Film","George Roy Hill",NA,6.1,101,"1988","comedy, drama",13837,"1988-06-03","http://www.imdb.com/title/tt0095188/","0095188"
8431,"tt0110944","Mon Apr 29 18:17:01 2013","Mon Apr 29 18:17:01 2013","","Rapa Nui","Feature Film","Kevin Reynolds",NA,6.4,107,"1994","action, adventure, drama, history, romance",3468,"1994-04-14","http://www.imdb.com/title/tt0110944/","0110944"
3336,"tt0204313","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","Exorcist: The Beginning","Feature Film","Renny Harlin",NA,5.1,114,"2004","horror, mystery, thriller",26842,"2004-08-18","http://www.imdb.com/title/tt0204313/","0204313"
3118,"tt0171433","Mon Apr 22 18:33:50 2013","Mon Apr 22 18:33:50 2013","","Keeping the Faith","Feature Film","Edward Norton",NA,6.5,128,"2000","comedy, drama, romance",42430,"2000-04-14","http://www.imdb.com/title/tt0171433/","0171433"
4846,"tt0094933","Mon Apr 22 18:38:53 2013","Mon Apr 22 18:38:53 2013","","D.O.A.","Feature Film","Annabel Jankel, Rocky Morton",NA,6.1,96,"1988","mystery, thriller",7479,"1988-03-18","http://www.imdb.com/title/tt0094933/","0094933"
7198,"tt0489018","Thu Apr 25 02:59:58 2013","Thu Apr 25 02:59:58 2013","","Day of the Dead","Feature Film","Steve Miner",NA,4.5,86,"2008","action, horror",16798,"2008-04-08","http://www.imdb.com/title/tt0489018/","0489018"
4451,"tt0099819","Mon Apr 22 18:37:49 2013","Mon Apr 22 18:37:49 2013","","I Love You to Death","Feature Film","Lawrence Kasdan",NA,6.4,97,"1990","comedy, crime",10178,"1990-04-06","http://www.imdb.com/title/tt0099819/","0099819"
8159,"tt0157938","Mon Apr 29 17:40:14 2013","Mon Apr 29 17:40:14 2013","","Louise Brooks: Looking for Lulu","Documentary","Hugh Munro Neely",NA,7.7,60,"1998","documentary, biography",229,"1998","http://www.imdb.com/title/tt0157938/","0157938"
1057,"tt1587310","Mon Apr 22 18:27:05 2013","Mon Apr 22 18:27:05 2013","","Maleficent","Feature Film","Robert Stromberg",NA,7.1,97,"2014","action, adventure, family, fantasy, romance",194289,"2014-05-28","http://www.imdb.com/title/tt1587310/","1587310"
4607,"tt0073453","Mon Apr 22 18:38:22 2013","Mon Apr 22 18:38:22 2013","","Night Moves","Feature Film","Arthur Penn",NA,7.2,100,"1975","crime, mystery, thriller",6337,"1975-03","http://www.imdb.com/title/tt0073453/","0073453"
1033,"tt0873886","Mon Apr 22 18:27:04 2013","Mon Apr 22 18:27:04 2013","","Red State","Feature Film","Kevin Smith",NA,6.2,88,"2011","action, crime, horror, thriller",48024,"2011-01-23","http://www.imdb.com/title/tt0873886/","0873886"
470,"tt0443706","Mon Apr 22 18:25:34 2013","Mon Apr 22 18:25:34 2013","","Zodiac","Feature Film","David Fincher",5,7.7,157,"2007","crime, drama, mystery, thriller",246877,"2007-03-02","http://www.imdb.com/title/tt0443706/","0443706"
358,"tt1783732","Mon Apr 22 18:23:57 2013","Mon Apr 22 18:23:57 2013","","John Dies at the End","Feature Film","Don Coscarelli",NA,6.4,99,"2012","comedy, horror, sci_fi",25232,"2012-01-23","http://www.imdb.com/title/tt1783732/","1783732"
1879,"tt0095776","Mon Apr 22 18:29:30 2013","Mon Apr 22 18:29:30 2013","","Oliver & Company","Feature Film","George Scribner",NA,6.7,74,"1988","animation, adventure, family, musical",27797,"1988-11-13","http://www.imdb.com/title/tt0095776/","0095776"
8005,"tt0076111","Mon Apr 29 17:39:45 2013","Mon Apr 29 17:39:45 2013","","The Greatest","Feature Film","Tom Gries",NA,5.6,101,"1977","biography, drama, sport",690,"1977-05-19","http://www.imdb.com/title/tt0076111/","0076111"
228,"tt0144084","Mon Apr 22 18:23:55 2013","Mon Apr 22 18:23:55 2013","","American Psycho","Feature Film","Mary Harron",7,7.6,102,"2000","crime, drama",305921,"2000-01-21","http://www.imdb.com/title/tt0144084/","0144084"
6423,"tt0071385","Mon Apr 22 18:43:09 2013","Mon Apr 22 18:43:09 2013","","Daisy Miller","Feature Film","Peter Bogdanovich",NA,6.1,91,"1974","drama, romance",718,"1974-05-22","http://www.imdb.com/title/tt0071385/","0071385"
3040,"tt0104237","Mon Apr 22 18:33:24 2013","Mon Apr 22 18:33:24 2013","","Damage","Feature Film","Louis Malle",NA,6.8,111,"1992","drama, romance",10564,"1992-12-09","http://www.imdb.com/title/tt0104237/","0104237"
