"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
8900,"tt0338806","Mon Apr 29 18:16:34 2013","Mon Apr 29 18:16:34 2013","","Warrior Queen","Feature Film","Bill Anderson",NA,5.3,98,"2003","action, drama, history, war",781,"2003-09-28","http://www.imdb.com/title/tt0338806/","0338806"
3568,"tt0327643","Mon Apr 22 18:34:45 2013","Mon Apr 22 18:34:45 2013","","Dirty Love","Feature Film","John Mallory Asher",NA,3.5,91,"2005","comedy, romance",5796,"2005-01","http://www.imdb.com/title/tt0327643/","0327643"
9597,"tt0073138","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","I Will Fight No More Forever","TV Movie","Richard T. Heffron",NA,7.3,105,"1975","action, drama, history, war, western",421,"1975-04-14","http://www.imdb.com/title/tt0073138/","0073138"
252,"tt0363771","Mon Apr 22 18:23:55 2013","Mon Apr 22 18:23:55 2013","","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Feature Film","Andrew Adamson",5,6.9,143,"2005","adventure, family, fantasy",234214,"2005-12-07","http://www.imdb.com/title/tt0363771/","0363771"
5742,"tt0101701","Mon Apr 22 18:40:49 2013","Mon Apr 22 18:40:49 2013","","Delirious","Feature Film","Tom Mankiewicz",NA,5.7,96,"1991","comedy, fantasy",5228,"1991-08-09","http://www.imdb.com/title/tt0101701/","0101701"
4147,"tt0117011","Mon Apr 22 18:36:45 2013","Mon Apr 22 18:36:45 2013","","Maximum Risk","Feature Film","Ringo Lam",NA,5.3,101,"1996","action, adventure, crime, mystery, thriller",13784,"1996-09-13","http://www.imdb.com/title/tt0117011/","0117011"
7611,"tt0780607","Thu Apr 25 02:59:59 2013","Thu Apr 25 02:59:59 2013","","The Signal","Feature Film","David Bruckner, Dan Bush",NA,6.1,103,"2007","horror, sci_fi, thriller",16924,"2007-01-22","http://www.imdb.com/title/tt0780607/","0780607"
2407,"tt1507563","Mon Apr 22 18:30:54 2013","Mon Apr 22 18:30:54 2013","","Dark Tide","Feature Film","John Stockwell",NA,4.3,114,"2012","adventure, drama, thriller",5882,"2012-03-08","http://www.imdb.com/title/tt1507563/","1507563"
7899,"tt0075261","Thu Apr 25 03:01:05 2013","Thu Apr 25 03:01:05 2013","","Squirm","Feature Film","Jeff Lieberman",NA,4.4,92,"1976","horror",3352,"1976-07-30","http://www.imdb.com/title/tt0075261/","0075261"
5203,"tt0144142","Mon Apr 22 18:39:24 2013","Mon Apr 22 18:39:24 2013","","Committed","Feature Film","Lisa Krueger",NA,5.2,98,"2000","comedy, drama",2860,"2000-01-21","http://www.imdb.com/title/tt0144142/","0144142"
3130,"tt0102719","Mon Apr 22 18:33:49 2013","Mon Apr 22 18:33:49 2013","","Problem Child 2","Feature Film","Brian Levant",NA,4.3,90,"1991","comedy, family",14880,"1991-07-03","http://www.imdb.com/title/tt0102719/","0102719"
3348,"tt0112435","Mon Apr 22 18:34:18 2013","Mon Apr 22 18:34:18 2013","","The Baby-Sitters Club","Feature Film","Melanie Mayron",NA,5.6,94,"1995","comedy, drama, family",3825,"1995-08-18","http://www.imdb.com/title/tt0112435/","0112435"
8756,"tt0107322","Mon Apr 29 18:16:32 2013","Mon Apr 29 18:16:32 2013","","King of the Hill","Feature Film","Steven Soderbergh",NA,7.5,103,"1993","drama, history",5027,"1993-08-20","http://www.imdb.com/title/tt0107322/","0107322"
2172,"tt0466909","Mon Apr 22 18:29:58 2013","Mon Apr 22 18:29:58 2013","","The Omen","Feature Film","John Moore",NA,5.5,110,"2006","horror, mystery, thriller",43831,"2006-06-06","http://www.imdb.com/title/tt0466909/","0466909"
3475,"tt0096454","Mon Apr 22 18:34:20 2013","Mon Apr 22 18:34:20 2013","","Without a Clue","Feature Film","Thom Eberhardt",NA,7,107,"1988","comedy, crime, mystery",6269,"1988-10-21","http://www.imdb.com/title/tt0096454/","0096454"
8836,"tt0082979","Mon Apr 29 18:16:33 2013","Mon Apr 29 18:16:33 2013","","Reds","Feature Film","Warren Beatty",NA,7.5,195,"1981","biography, drama, history, romance",14293,"1981-12-03","http://www.imdb.com/title/tt0082979/","0082979"
3875,"tt0080437","Mon Apr 22 18:35:49 2013","Mon Apr 22 18:35:49 2013","","The Big Red One","Feature Film","Samuel Fuller",7,7.2,113,"1980","action, drama, war",13653,"1980-05-28","http://www.imdb.com/title/tt0080437/","0080437"
1338,"tt0327137","Mon Apr 22 18:27:58 2013","Mon Apr 22 18:27:58 2013","","Secondhand Lions","Feature Film","Tim McCanlies",8,7.6,111,"2003","comedy, drama, family",38646,"2003-09-05","http://www.imdb.com/title/tt0327137/","0327137"
7504,"tt1235796","Thu Apr 25 02:59:58 2013","Thu Apr 25 02:59:58 2013","","Ondine","Feature Film","Neil Jordan",NA,6.8,111,"2009","drama, romance",14713,"2009-09-14","http://www.imdb.com/title/tt1235796/","1235796"
3017,"tt1486190","Mon Apr 22 18:33:23 2013","Mon Apr 22 18:33:23 2013","","Tamara Drewe","Feature Film","Stephen Frears",NA,6.2,107,"2010","comedy, drama, romance",14669,"2010-05-18","http://www.imdb.com/title/tt1486190/","1486190"
8733,"tt0070239","Mon Apr 29 18:16:31 2013","Mon Apr 29 18:16:31 2013","","Jesus Christ Superstar","Feature Film","Norman Jewison",7,7.3,108,"1973","drama, history, musical",17239,"1973-08-07","http://www.imdb.com/title/tt0070239/","0070239"
38,"tt0371746","Mon Apr 22 18:23:20 2013","Mon Apr 22 18:23:20 2013","","Iron Man","Feature Film","Jon Favreau",7,7.9,126,"2008","action, adventure, sci_fi",523480,"2008-04-14","http://www.imdb.com/title/tt0371746/","0371746"
7586,"tt0780516","Thu Apr 25 02:59:58 2013","Thu Apr 25 02:59:58 2013","","Flawless","Feature Film","Michael Radford",NA,6.8,108,"2007","crime, drama, thriller",16669,"2007-09-26","http://www.imdb.com/title/tt0780516/","0780516"
4953,"tt0118829","Mon Apr 22 18:38:54 2013","Mon Apr 22 18:38:54 2013","","Cats Don't Dance","Feature Film","Mark Dindal",NA,6.9,75,"1997","animation, comedy, family, fantasy, musical",5026,"1997-03-26","http://www.imdb.com/title/tt0118829/","0118829"
5479,"tt0067774","Mon Apr 22 18:40:18 2013","Mon Apr 22 18:40:18 2013","","Sometimes a Great Notion","Feature Film","Paul Newman",NA,7,114,"1970","drama, action, adventure",2231,"1970-12-31","http://www.imdb.com/title/tt0067774/","0067774"
1641,"tt1258197","Mon Apr 22 18:28:28 2013","Mon Apr 22 18:28:28 2013","","Exam","Feature Film","Stuart Hazeldine",NA,6.9,101,"2009","mystery, thriller",47054,"2009-06","http://www.imdb.com/title/tt1258197/","1258197"
6194,"tt0111552","Mon Apr 22 18:41:47 2013","Mon Apr 22 18:41:47 2013","","Undefeatable","Feature Film","Godfrey Hall",NA,3.9,90,"1993","action, thriller",1556,"1993-09-29","http://www.imdb.com/title/tt0111552/","0111552"
4942,"tt0111003","Mon Apr 22 18:38:54 2013","Mon Apr 22 18:38:54 2013","","The Puppet Masters","Feature Film","Stuart Orme",NA,5.8,109,"1994","horror, sci_fi, thriller",6220,"1994-10-21","http://www.imdb.com/title/tt0111003/","0111003"
2810,"tt1695994","Mon Apr 22 18:31:48 2013","Mon Apr 22 18:31:48 2013","","The Virginity Hit","Feature Film","Huck Botko, Andrew Gurland",NA,4.6,NA,"2010","comedy",3246,"2010-09-10","http://www.imdb.com/title/tt1695994/","1695994"
596,"tt0296572","Mon Apr 22 18:26:02 2013","Mon Apr 22 18:26:02 2013","","The Chronicles of Riddick","Feature Film","David Twohy",7,6.7,119,"2004","action, adventure, sci_fi, thriller",161152,"2004-06-03","http://www.imdb.com/title/tt0296572/","0296572"
